Frequency (Hz),N=1,N=2,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30
378164.0576,11.785395300700761+11.278673384069933j,46.85523470908255+43.91060777004755j,105.03113157686617+98.06530084684702j,186.1988689733527+173.6364201675781j,290.5147434042061+270.7613660740436j,418.0086080879768+389.6237755918052j,568.435323408422+529.8631311250446j,743.0349313237757+691.6456209563083j,941.2871145038599+874.6032872166339j,1163.7632817984977+1079.2240661891897j,1412.1893261904524+1305.5259838686177j,1682.753351712371+1552.7730011172807j,1978.8399169822947+1821.3574217019489j,2305.563792901547+2110.677305495977j,2659.6834319589425+2423.342672185753j,3022.96984930806+2751.6721957762343j,3421.993242650363+3106.757541389357j,3859.2656560170194+3480.073834682381j,4444.820942521105+3982.20647960185j,4809.89714034468+4289.596849994684j,5332.277817670256+4724.850632500122j,5896.134037115617+5179.612230092877j,6469.842058154586+5655.28755843234j,7106.9947324073055+6144.851473331164j,7749.20935980668+6658.864947910558j,8447.993479878078+7184.446280190985j,9179.69359776708+7724.714197429639j,9958.571218839263+8287.394693166641j,10788.223273928928+8876.115864444779j,11672.663493329039+9491.749260140637j
381049.3975,11.831594259830856+11.30541481664067j,47.03582916048369+44.008719198712875j,105.43269085020128+98.28414853073542j,186.91573057057317+174.0236170657166j,291.6402638491024+271.356535234405j,419.6361558452107+390.50909959707474j,570.6637548138045+531.0537333055669j,745.9268819342982+693.1472769013922j,944.8787371833449+876.54026560606j,1168.3596721266424+1081.6748430964813j,1417.7423049575266+1308.2732006077663j,1689.2579749556353+1556.264779366001j,1987.0968554335132+1825.322287617835j,2314.7283813336676+2115.3771863024967j,2669.8928629280817+2428.9591817998485j,3035.1972680913454+2757.4790393911144j,3436.718345831836+3113.278302146188j,3875.05972929518+3487.031071130338j,4463.686286333374+3990.5428976486555j,4829.919338995867+4297.59708716306j,5356.434614711739+4734.6481742640435j,5921.4834256335125+5189.085237882529j,6499.83953601329+5665.67106728675j,7140.2058536620725+6156.565166028787j,7783.859612653196+6672.835888178619j,8485.029914711144+7200.097964797476j,9223.26631962282+7742.004029518678j,10004.45558289889+8304.472376592066j,10828.648325334545+8894.45599536889j,11734.224065215116+9495.021226995326j
383956.752,11.876748666450366+11.33236401947342j,47.2175528423645+44.10831756518741j,105.83518861191047+98.50185745647798j,187.63103993786174+174.4089392050952j,292.74875162509966+271.95745334048246j,421.2391306627471+391.3508290620938j,572.8319042057916+532.2093302704657j,748.8508293713465+694.6663156299803j,948.5802419807587+878.5095417721659j,1172.9368153395412+1084.004762030218j,1423.2973743063662+1311.2379913077011j,1695.8463400079554+1559.6860795229895j,1994.6531831172276+1829.2721354359624j,2324.121262021081+2119.869646741612j,2681.2439545457987+2434.770592219038j,3047.4421974252436+2763.45834109843j,3450.0696774304033+3120.2325215810133j,3891.301276157053+3493.6590473423944j,4483.719744771522+3998.303142192886j,4850.734621031347+4307.651209768177j,5379.890187537078+4744.73456263411j,5948.754846197062+5199.928912132247j,6528.569480529374+5676.900803514j,7172.397501176697+6168.192169068137j,7820.2281489603+6683.926316689984j,8527.538890636286+7209.831733962734j,9264.382056491051+7753.180452865822j,10054.377892444996+8319.637588572019j,10893.026344186193+8901.186216855513j,11796.39931533694+9513.680996239938j
386886.2893,11.922972448369677+11.359209191836825j,47.40061659840572+44.210163763521656j,106.24348545184435+98.72348029619508j,188.35891953455544+174.80394484581174j,293.8764340963193+272.5564891102722j,422.86091458491745+392.23672897349525j,575.0862569025866+533.4212700008649j,751.7601314449955+696.2203943597423j,952.3637253240338+880.3743390091732j,1177.4719323210822+1086.465499921071j,1428.995831409131+1314.1708323635823j,1702.764374358601+1562.9212761822546j,2002.927983474589+1833.487402886986j,2333.7004424584447+2124.5749476985475j,2691.5039444109607+2439.8578264665844j,3059.6775926741107+2769.7911729592993j,3463.643029685466+3126.5343974443813j,3908.639086252163+3501.127785464127j,4501.20604411912+4007.7992134186993j,4873.566340525279+4317.918680199052j,5403.439745035002+4755.901537328208j,5972.80544543114+5210.690377774215j,6555.062233687557+5687.629478122101j,7207.518181743108+6180.929463330557j,7856.443143353795+6695.227388924361j,8568.155017353085+7223.289565437575j,9309.023317242138+7772.72162268483j,10101.887883221072+8335.82540393176j,10940.724813515722+8912.153927980504j,11848.587184355236+9527.561285041056j
389838.1786,11.96821772998737+11.386149529292556j,47.58083183389953+44.30974792924307j,106.65086824954045+98.9467281264491j,189.06657379770814+175.18377331183393j,294.9890382184524+273.16808829216205j,424.4817556160564+393.09518321705764j,577.2999450645389+534.591131682378j,754.6348831269067+697.7105690974482j,955.962130567138+882.336258894928j,1182.1096125653005+1088.767649869783j,1434.5692805823358+1316.9627597333786j,1709.3296211096506+1566.2278592374173j,2010.5905347376936+1836.8715192564748j,2342.6682772220984+2129.149614285616j,2702.327556754779+2445.1186098305643j,3072.6225053076855+2775.469884097594j,3478.9964980752366+3133.6882724298985j,3923.8860444520888+3508.931620743549j,4520.310780668735+4014.874667795207j,4892.336333539978+4324.043320750747j,5426.123585021706+4767.091369520704j,6001.303041793867+5219.340119047328j,6583.286633760609+5698.062657366832j,7235.912379500136+6192.483980966197j,7893.170028980537+6707.7263220898585j,8605.551201025435+7238.864243879771j,9351.135804078325+7784.8633206393915j,10147.865865219414+8346.079944058105j,10991.220485543336+8927.431567564943j,11908.900974751776+9551.974440386126j
392812.5903,12.013846531665664+11.414030402010285j,47.763131106826066+44.41106808463223j,107.05586966665265+99.16861103189534j,189.78975920776756+175.58253634778686j,296.1277887047964+273.7872079759144j,426.11056926363506+393.97850332122783j,579.5196099012161+535.772069576517j,757.5082695317869+699.2921900058828j,959.7197679671281+884.2646095932289j,1186.6668992641232+1091.2257017963418j,1439.9717746228237+1319.8592879688117j,1715.798016268318+1569.7625524182467j,2018.8240191765992+1841.173452638739j,2352.0625527204897+2133.870623912202j,2713.0632505159297+2449.8216896505473j,3084.6801159107654+2781.2643624620637j,3492.198368117537+3139.819374065246j,3940.0688100849306+3516.230907901841j,4539.396159332167+4025.153354805082j,4912.3333359037415+4333.945514239836j,5448.361638798877+4772.601161365644j,6024.127295447561+5230.882131153067j,6614.709014168221+5708.245857077192j,7268.887689484592+6203.85713964706j,7928.711977374491+6721.0968108702045j,8642.582804116832+7251.041834619005j,9394.397672563862+7797.411577158499j,10193.240180902809+8357.590461729962j,11045.003904716217+8944.664905921587j,11967.63839706573+9558.016839456464j
395809.6964,12.060850848313086+11.441731078263672j,47.94566925476071+44.5115738775458j,107.4591373666896+99.38914613771222j,190.50997084749974+175.97503159658584j,297.2531306035028+274.4008640102996j,427.7379548979143+394.86875556491475j,581.7243100926781+536.9620831921285j,760.3944217751334+700.7832043979887j,963.3629508713847+886.2542523932333j,1191.2249599788927+1093.5531103301641j,1445.6206802231538+1322.7837685163986j,1722.599384327633+1573.2163727148588j,2026.5887262126018+1845.2636472277336j,2361.451446152102+2138.3299435598105j,2723.9789588838303+2455.2939279323305j,3097.2611605652155+2787.0382583802434j,3506.3306342056676+3146.8726714461586j,3956.0410194975448+3523.2481092172957j,4557.386468250001+4032.674298790983j,4935.737298459367+4344.305788817642j,5470.093724574414+4783.116471364861j,6051.574859243781+5238.962629181293j,6641.8138956636585+5719.9712261263785j,7303.266854864362+6218.7948777275005j,7964.1353769166635+6733.902382676654j,8685.50895321816+7265.749606556566j,9444.150217967217+7806.462765737635j,10247.137581617668+8372.587380381603j,11100.211794052739+8962.899787603974j,12017.392980493963+9580.056522746469j
398829.67,12.107385936370223+11.469972649108373j,48.12905852020631+44.615837571533504j,107.87203814432384+99.62014495485846j,191.24233142257953+176.38295855179055j,298.38531738031463+275.02336124977927j,429.38284316490217+395.77926222931717j,583.9646910151198+538.1703230145823j,763.3327275555841+702.3913183408874j,967.0903894579212+888.2571307092396j,1195.8735434034204+1096.0251864974086j,1451.2495854912477+1325.8132432668087j,1729.5009757827415+1576.6299470346953j,2034.3210124623668+1849.3819661627708j,2370.7151475688615+2143.2095181895015j,2734.8972555448+2461.4255539254254j,3109.4986109591323+2793.188430040121j,3520.9001064014155+3152.7970943816113j,3972.890635901061+3530.900677378473j,4576.5692483454695+4040.2117907201964j,4954.966431800589+4351.571092277915j,5494.590749609242+4793.552001222991j,6076.423647671749+5251.397140663227j,6672.77541870587+5730.716609971229j,7334.017746440896+6230.160517552666j,8000.221900888803+6746.843971195908j,8724.491962810982+7280.262316848403j,9483.84691308876+7823.496683093201j,10290.061467170768+8388.688861461917j,11152.81926528969+8976.185293276598j,12081.571073352427+9586.503434936829j
401872.6856,12.152921528242864+11.497515499612263j,48.31095296280543+44.718575399327136j,108.28188398601516+99.84684567993278j,191.9601422215123+176.78079787365672j,299.52239799554314+275.6553905401705j,431.01845914783115+396.66493298896467j,586.1869873502665+539.3849843999886j,766.2758205583475+703.9918271716974j,970.8020367719174+890.2358898111446j,1200.4795459689694+1098.5485074581131j,1456.9539328966957+1328.7404845561643j,1736.416825523091+1580.2650179314019j,2042.10159632701+1853.5715384372509j,2379.9624272419765+2147.9180246087562j,2745.4957664181516+2466.2439835868477j,3121.631014064269+2799.7419040146965j,3534.34476527115+3160.0397271430256j,3989.146088868882+3538.7781667325157j,4595.121146202265+4048.9051427241366j,4975.56147481229+4360.088437653251j,5517.087870421672+4804.490487651589j,6102.62503058142+5261.218175291164j,6702.122900019099+5742.094942117838j,7365.156268737626+6239.9521302359835j,8031.167381239732+6758.065436235716j,8758.922234157591+7286.833732474546j,9526.06377112977+7837.162251042555j,10345.95382137814+8401.099879360925j,11213.28566589046+8989.275105269113j,12140.478555367961+9606.000637934923j
404938.919,12.198680720202837+11.525310607737138j,48.492737029316515+44.82154753268851j,108.68536931904617+100.07846342348796j,192.68353906179036+177.18787188263232j,300.6320701878015+276.2721863845308j,432.61748716129074+397.5765378737493j,588.3806514008041+540.6338237052558j,769.1518076701005+705.5799392539515j,974.5249765856929+892.3381181993473j,1205.0234376167614+1101.0989694282503j,1462.4555673631558+1331.7927351110845j,1742.956675316424+1583.9364305674876j,2050.19579634553+1857.9278748985062j,2389.461277956391+2152.642423812166j,2756.79653312722+2472.1821045297716j,3134.2421027519526+2806.177492517901j,3549.111179937282+3167.756251437655j,4005.2233806899817+3545.855415281864j,4613.680076644599+4058.746390596549j,4996.02533234419+4370.401699084134j,5541.644341776648+4814.3972849150105j,6132.037016539314+5273.105463358167j,6731.5046616111385+5757.611912498483j,7398.559551141387+6254.296510506935j,8072.198252542895+6772.7895608716035j,8802.955294369189+7301.877056212625j,9567.606994467744+7849.169874245836j,10389.788324051193+8418.146242593437j,11270.138040604172+9000.753840476033j,12204.775587856022+9627.032963912057j
408028.5474,12.243824044665216+11.553122904390925j,48.6755768755336+44.92516352713144j,109.09561887738494+100.30738995429861j,193.41316626004775+177.5995627566086j,301.7652044837059+276.8931286250703j,434.2680404034455+398.4859357924176j,590.6409252123786+541.8779893616831j,772.1049729654351+707.206195861743j,978.2556428560551+894.287981449376j,1209.769555249575+1103.5570376207904j,1468.1559497699793+1334.9423680870984j,1749.6598499060551+1587.5912777060123j,2058.454946836026+1861.9238560268764j,2398.9857997536565+2157.670222652901j,2767.7954636395316+2477.661077900532j,3147.4522673553915+2811.6840352187073j,3564.417914023644+3174.657492996417j,4022.6734122423372+3554.502358395827j,4633.13159219122+4067.541442006287j,5018.23548020748+4378.706425579115j,5564.695022549182+4823.005304518363j,6158.007191609813+5284.015748458171j,6760.322927659019+5769.027015596706j,7431.519579098087+6267.068986122056j,8108.491987408249+6782.1746190354825j,8846.654749425485+7322.468578372426j,9618.861288518681+7868.249617856259j,10445.703551773486+8433.41906407467j,11315.502543759065+9013.41217654289j,12264.998386673187+9649.548458056299j
411141.7491,12.290450407847292+11.582055612096465j,48.8578258784167+45.03055744516185j,109.5062099011815+100.5423163676404j,194.13663148377344+178.00590517532507j,302.9043457095572+277.5465679423824j,435.9241993866477+399.4122885388087j,592.8793220361537+543.0985711820488j,775.0566645237132+708.8098418873327j,981.964485660544+896.4017724719771j,1214.3674518303892+1106.052692936771j,1473.7803131206288+1337.9037150547101j,1756.623588962146+1590.9900875093524j,2066.769078431296+1866.3276148165487j,2408.500851780463+2162.3955712197385j,2778.8676019929176+2483.300027014314j,3160.1618889385522+2817.794422460067j,3577.8237125585365+3180.9053971057074j,4038.9631880918932+3562.338265547123j,4653.89866454337+4076.516042073957j,5037.89726892154+4388.25373133649j,5587.960663509485+4830.950533353103j,6184.707297128754+5293.422511713812j,6790.787937905705+5777.898979512753j,7466.797337875366+6278.810729566859j,8148.708468158031+6799.197364498492j,8887.346086524663+7331.426193193958j,9665.300696591708+7880.184145860592j,10488.013332317421+8443.295271263407j,11367.225363866362+9030.907320635015j,12316.472080504356+9651.95985885854j
414278.7042,12.335199388973352+11.6098282643108j,49.038158198225496+45.133040110791775j,109.91140446437805+100.76921726592448j,194.85808313390248+178.40520006958263j,304.03597265730826+278.18288412691743j,437.51699271037114+400.2951656874843j,595.0909132107463+544.3033548656309j,777.9377926270543+710.3944120617905j,985.6398413069337+898.3199807233831j,1219.0089457354052+1108.5235649451101j,1479.349423111493+1340.7122124418945j,1763.2452395717426+1594.3148627957107j,2074.5792644124526+1870.2878321883597j,2417.6761438960593+2166.918662680722j,2789.4224511153684+2488.173974124605j,3172.560088487686+2824.4072597896406j,3591.919759235823+3187.3686376596247j,4054.7701921912094+3569.416728699393j,4671.712329506834+4084.366390735791j,5058.577432626238+4396.7057474383955j,5612.664590114219+4841.944039549546j,6210.655627847615+5302.946766281314j,6820.06862361197+5790.795042817069j,7500.182936023835+6287.73825123818j,8182.555136648055+6811.78639627533j,8929.057030126738+7348.413602309453j,9703.45368118621+7891.4190096240045j,10539.721259406046+8456.130147163964j,11426.121068196237+9048.439527779905j,12385.069649143765+9674.20850530446j
417439.5938,12.382324502458752+11.639100620869664j,49.222635298000306+45.241792734287046j,110.31853313642203+101.0027462348226j,195.5823160356902+178.82940883366032j,305.1657618204517+278.8224758942403j,439.1576051154451+401.234221076245j,597.3036573410014+545.5777723521516j,780.8288623426844+712.0433136096814j,989.3456876103955+900.3886661111502j,1223.5301545936695+1111.097330206116j,1484.9749493647896+1343.7407364972628j,1769.967119744843+1598.0235348988756j,2082.69382603193+1874.3219383213361j,2426.915113760564+2171.894846670826j,2800.0010551867385+2494.4615934012313j,3185.080590688238+2830.5310980654635j,3606.1282788983603+3194.76890002315j,4071.4596636514025+3576.986398563647j,4691.642361910672+4092.74747300294j,5079.612653461466+4406.537605935405j,5635.382845237209+4852.742443799147j,6238.523187457818+5316.4414297177145j,6846.854184829388+5799.788855944266j,7531.4505532230505+6301.1954322853535j,8219.16980989429+6824.400449461434j,8966.485122879105+7359.510207411212j,9755.775224276935+7907.952266366294j,10592.91574458549+8468.421931681945j,11479.503565624987+9067.297050994324j,12439.443959671613+9677.941911721084j
420624.6006,12.42898719819016+11.667755925618122j,49.40953421961828+45.34936267546042j,110.7338111950486+101.24209749757826j,196.32602491478997+179.2572127276847j,306.32062265577883+279.4875169382146j,440.8241536167604+402.18336020609405j,599.615808681306+546.8828048128088j,783.8677504138859+713.74577709518j,993.1749427220271+902.5244768550625j,1228.3597706125036+1113.650945537619j,1490.7387617677166+1346.9970451669426j,1776.9790894403343+1601.9513570804638j,2090.8981860022036+1878.7677032965669j,2436.7128260289987+2177.145959309532j,2811.0419663139087+2500.11230931528j,3197.738313693237+2836.4494695000285j,3620.71148637958+3201.9083417468946j,4088.154464078183+3585.269788039055j,4711.024008007615+4101.150815239095j,5101.814560208453+4416.18660656563j,5657.619192644041+4864.642660410867j,6263.942814307223+5327.672719000672j,6880.145838287449+5813.209588872756j,7566.329260656991+6317.70782342146j,8258.529181840713+6835.999793341864j,9010.370590695295+7369.391504919798j,9794.324977022452+7924.264334307257j,10644.93152685384+8485.100967135562j,11535.517367491942+9080.975760391095j,12498.867348425292+9704.075004965287j
423833.9085,12.474545108578768+11.697240243696028j,49.59321723118133+45.456980097219656j,111.14788261601365+101.4826719816296j,197.05494104920905+179.6779162867404j,307.4496072096525+280.1392188564991j,442.4654779054825+403.1193919559993j,601.8560436128513+548.1502525950708j,786.8173259972265+715.4364569331291j,996.9237083248073+904.6695859001114j,1233.0554883405405+1116.265374083464j,1496.4985650524502+1350.1697962595592j,1783.9003271899903+1605.6471138771112j,2098.5847554949537+1882.9964576948782j,2446.307330278481+2182.0151237678638j,2822.3436890639205+2505.775461031334j,3210.276821205006+2843.4003234728634j,3635.564785514682+3208.9244090941042j,4104.453452832625+3593.2265635665185j,4729.430457486033+4111.009799994652j,5122.067493497318+4426.541371457712j,5683.113316669112+4876.821316194225j,6291.70091414756+5338.311427651021j,6910.38082058082+5827.387893308889j,7601.257886869407+6331.301751837856j,8294.38154268643+6848.674186595403j,9048.064949605907+7382.762581820849j,9847.311110319279+7937.6510826165395j,10689.957617317868+8498.340368709636j,11592.033532470143+9097.378268192602j,12560.787824672192+9723.468210277664j
427067.703,12.522953761302855+11.72684532592486j,49.7784680542876+45.56654711969486j,111.56383728087114+101.72261226673169j,197.7924471483985+180.10189744502551j,308.60719683091577+280.7950847335963j,444.1185908852675+404.0616484430912j,604.1098816912462+549.4353212182064j,789.8055016406466+717.0434050125574j,1000.6993815012389+906.7206523381607j,1237.6866002929225+1118.7921113534007j,1502.0866166973256+1353.2042435114904j,1790.7617509369663+1609.244744414991j,2106.697078035638+1887.7060414301634j,2455.7471758250026+2187.2985831937294j,2833.5008784842107+2511.203466544328j,3223.4470454195907+2849.0898408309145j,3650.02816020643+3216.231781358673j,4121.6350201865125+3600.8345575589715j,4747.8620094575135+4120.678338232252j,5145.374332528353+4434.768119292597j,5707.849634922547+4885.864265748478j,6318.8777912216065+5347.712238910835j,6941.479536599903+5836.490113004527j,7635.592539454568+6340.457231849864j,8332.372134041554+6864.421212027756j,9091.28001868085+7399.575041925078j,9889.67167061743+7952.646862786337j,10744.800634563835+8523.806415958674j,11659.331046107767+9104.98761251782j,12621.008634789847+9729.010136741985j
430326.1709,12.56959012734253+11.75652500986266j,49.963324074005534+45.674681613348376j,111.98168436383989+101.96773606525929j,198.52866308249352+180.52761896739392j,309.75700149486863+281.4700590603938j,445.7903981912015+405.03530843260893j,606.341986322656+550.7396163180885j,792.7280341787475+718.7272579939674j,1004.5020381178147+908.8788446136565j,1242.438827975092+1121.5817996354217j,1507.7083928705838+1356.4586565435313j,1797.63467359689+1612.9257864902731j,2115.3409848874435+1891.8719985095136j,2465.5703064735794+2191.7372772702306j,2844.8661257045133+2517.596001977585j,3236.4300546877043+2855.7164187359886j,3665.4973060912594+3223.2401453231387j,4137.874688844281+3609.1716343714925j,4767.576582743428+4129.131824972498j,5165.249595905522+4445.124210471541j,5733.931593392964+4897.366354243487j,6346.656865879301+5357.736206394519j,6968.276192402511+5847.455585485026j,7668.477270911633+6351.352087333393j,8367.47450943033+6875.3270129351895j,9136.5149411584+7413.233128426487j,9936.388752523133+7965.011145554042j,10792.585334524658+8531.707237740637j,11702.883996226932+9130.495198384531j,12680.13490739804+9763.767610848716j
433609.5005,12.615102621205967+11.785353076122847j,50.146621687492846+45.78310752827611j,112.39093382504423+102.2096309001933j,199.25481752496842+180.9546542027447j,310.89347444411516+282.13331348784874j,447.4237024743346+405.97656698230395j,608.6407359164981+552.0119103466982j,795.6272045096222+720.4342743922355j,1008.240657221262+911.0144431103804j,1247.1081125742257+1124.12126440947j,1513.5393132471988+1359.6297879374672j,1804.4544224933627+1616.6409918855384j,2123.188798713929+1896.0554625098039j,2474.9030656801897+2197.0124555547445j,2855.606344038584+2522.9070292706683j,3248.8275540008594+2862.0604019112093j,3680.169571885201+3231.075427931111j,4154.854173376718+3616.1455767994817j,4788.531968474693+4137.286810200308j,5187.854366021322+4454.6731479259615j,5755.205312633801+4904.168798011189j,6374.339330537972+5369.901051267072j,7000.717251230434+5864.376530852525j,7703.991843571476+6369.535645363897j,8405.425269778216+6889.717181357128j,9177.995348708653+7428.374563368834j,9982.47028647096+7980.664345812646j,10844.096093602253+8545.851435226346j,11769.748550523513+9146.33538722268j,12745.216773063628+9772.379966623916j
436917.8815,12.660998272652513+11.815315526292427j,50.33052312891056+45.89342309055866j,112.80092423821716+102.44865936735727j,199.97435940136106+181.37706677177584j,312.0322855033456+282.79517700110665j,449.07508147802963+406.94289088619587j,610.8772026298956+553.3443586092312j,798.6711530733813+722.1370165964553j,1012.0363843359489+913.1601258180368j,1251.7418661871002+1126.690732223174j,1519.357834521966+1362.7004396338857j,1811.2023297994208+1620.7183233721867j,2131.1633163985457+1900.6143344312068j,2484.275696622086+2202.202749023966j,2866.1723933435155+2528.8165164644897j,3261.3998862546946+2868.536973834122j,3694.174108222259+3237.534293962355j,4172.015605301591+3624.095871254181j,4806.428252166848+4148.14772973933j,5208.625963163051+4463.976100398356j,5779.725190600051+4917.105387089838j,6400.275733848909+5382.386660035209j,7027.293649782905+5874.544503056048j,7735.623423339221+6375.413125854099j,8442.30689243421+6900.212954141067j,9218.65532613401+7442.019196080645j,10023.28311499901+7991.163561735693j,10898.793076864118+8561.282869960081j,11818.280153289212+9156.10848653j,12810.474341422481+9786.121911382726j
440251.5049,12.707953363499453+11.845711338487522j,50.516511355138995+46.004523205453616j,113.21992890717793+102.70036665907706j,200.72272474120575+181.81960040917224j,313.1902057393599+283.47539187082856j,450.7793146069082+407.9431819651821j,613.182634213156+554.6824624036216j,801.6753622879982+723.8656451755803j,1015.8092783033896+915.4173385743344j,1256.5338031861138+1129.3688974121299j,1525.0663892337257+1365.979987689872j,1818.1274908786845+1624.405246268933j,2139.50832440212+1904.8841144155144j,2494.366061599367+2207.277964059458j,2878.014025685722+2534.7208191025734j,3274.9331920788386+2875.44754548898j,3709.199606901998+3244.996812397404j,4189.181887510684+3633.6512234648344j,4825.810015193991+4157.202821591183j,5230.126003801543+4473.8825141085135j,5803.397457160731+4924.799808573929j,6427.497378397378+5393.034815277946j,7060.780374027208+5885.4562773495245j,7774.877962972025+6390.5712244433j,8482.06901171178+6918.706035180736j,9260.05567068014+7457.856312089345j,10075.693019598157+8009.35985034705j,10947.750917847501+8575.746998710687j,11879.715266959261+9173.792658378541j,12864.817853965993+9798.87806171591j
443610.5634,12.755311557477707+11.876234715521115j,50.70320429975211+46.117969223612135j,113.64063910618067+102.94937426104786j,201.46943137456958+182.26356304017295j,314.358191885852+284.1718540957237j,452.4196373017497+408.91558476378333j,615.4778814751066+556.0056112875235j,804.6470421466851+725.6755780300967j,1019.6693272069039+917.6312407967031j,1261.243229116349+1132.1243566331805j,1530.7172807595996+1369.2245977852115j,1825.1874644055747+1628.187978858255j,2147.846297675107+1909.6589686339448j,2504.095856371912+2212.314165595243j,2889.0396442617593+2540.689102130726j,3287.2326284137566+2882.3182617169914j,3724.228208216958+3253.224158880654j,4205.680178972239+3640.9996922834016j,4846.7032664680555+4165.843123623555j,5253.441246245736+4484.819988340419j,5828.074105320934+4937.59999213339j,6456.829724762682+5405.37631013579j,7093.139702932877+5899.544454242513j,7803.870721943061+6405.529214236273j,8520.879818952466+6934.74282439554j,9303.277660395992+7471.868877048154j,10123.256772874356+8031.03234578054j,11002.724400610114+8596.095378387172j,11936.765829901238+9185.160347451154j,12939.9674925111+9820.23299245417j
446995.2511,12.80425301772775+11.906777824651074j,50.89236355826732+46.23170464254868j,114.06141506493347+103.20174078397672j,202.21113119066618+182.7067691427688j,315.51817456010355+284.870280968262j,454.1216223376921+409.91110638444064j,617.7739278340931+557.3616774435219j,807.6847207616206+727.4117923723812j,1023.5279443372145+919.7315528228454j,1266.036533926035+1134.9106868570595j,1536.5687810104978+1372.6594263452575j,1832.3063205792453+1632.1529254316488j,2156.1034972495704+1913.800983789583j,2513.492405594717+2217.472508143298j,2899.9593591653347+2546.500738547971j,3300.8242363096183+2889.176497918781j,3738.880816252649+3260.410303291648j,4223.337670430568+3649.650947705474j,4866.60971605403+4176.704391365335j,5272.501077381678+4495.187295330988j,5853.28148657876+4948.332268626749j,6485.048074113805+5415.787667293307j,7122.749158846436+5910.97817302214j,7839.786121987594+6419.36954733416j,8561.22463670467+6946.002342134063j,9348.056148865777+7483.189826318496j,10176.894471576723+8041.814896491172j,11053.04470183148+8613.001700636432j,11999.308436089956+9201.852025604972j,13002.706551287509+9832.394263372715j
450405.7634,12.850655060710524+11.937253027502207j,51.07774370665711+46.34350625690672j,114.47765887405393+103.4505463305722j,202.9486621433268+183.14509031202246j,316.6705400509871+285.5514074821597j,455.78247002400303+410.9001342175989j,620.062936307991+558.7088775839189j,810.6514172524396+729.0930595893175j,1027.3217790843896+922.0166739916668j,1270.7803753632652+1137.5333618708198j,1542.352158912853+1375.9190692143416j,1839.0869901783979+1636.0522143947726j,2164.52378314521+1918.6529141026367j,2523.5628480493633+2222.851307997792j,2911.5383136623395+2552.842961454551j,3313.913429984346+2895.705179567016j,3753.8403038776487+3267.941818948893j,4240.630960969131+3657.957531245134j,4886.699395624213+4185.09880698229j,5295.797618010722+4503.163830275468j,5878.856122918148+4956.393798277249j,6512.626436833878+5430.085300139133j,7154.1158231365425+5923.812223237819j,7874.831573134062+6429.327625681327j,8601.083591936916+6958.530578333183j,9390.513323585394+7499.430933870717j,10216.770358613525+8051.821838861366j,11107.782613410283+8621.024602340658j,12052.400001536182+9217.1306149951j,13059.375182840762+9848.844874052802j
453842.2975,12.898284210985572+11.968247411794781j,51.26760519662953+46.45958321206977j,114.90328848422035+103.70870442700031j,203.70686363510083+183.6033118755027j,317.84695402363957+286.27038955017736j,457.46925841391874+411.91983477929796j,622.380845938504+560.0685164639876j,813.6989369522+730.9091207290692j,1031.1978496102367+924.3158981222521j,1275.7067859113604+1140.4624841979546j,1548.2955908739275+1379.3198775456692j,1846.2250617419832+1640.1108626923856j,2172.830884703587+1923.0843190304104j,2533.4000796209393+2228.739984331025j,2923.763632821197+2559.1054737578256j,3326.9125641174523+2902.4624136610782j,3769.6856855202163+3275.4122535234605j,4258.624752121337+3667.002527867915j,4907.257465109229+4194.275801905888j,5319.289144222136+4513.6333541761705j,5903.430100018105+4970.569014706854j,6541.132611295116+5438.965395819557j,7185.644891151532+5938.268721278317j,7912.2556285759365+6443.335356483863j,8634.646553128841+6973.15601631836j,9434.140636134354+7515.414450333718j,10271.569590457011+8070.272181367592j,11157.774162626178+8637.067707408401j,12109.069747100586+9229.466572593788j,13140.284995942764+9861.908444939256j
457305.0519,12.944843384231369+11.998733093727203j,51.45526480250984+46.57386232241032j,115.31426019913417+103.95607861182596j,204.4412912724955+184.04649623589833j,318.9881905879359+286.9510165357307j,459.1474383907772+412.9159930471437j,624.6366784766249+561.4120974048091j,816.6915203161109+732.6791530201739j,1034.919124113281+926.4655313119899j,1280.3260595071783+1143.1210810919824j,1554.1773160925732+1382.5432486376822j,1853.1354703775992+1643.849448261566j,2180.9071254095493+1927.74017822401j,2543.2520924065766+2233.3408202730943j,2934.7461434626066+2564.769429419483j,3340.2326646925685+2909.054234692474j,3784.78662719303+3283.7171793403345j,4276.456203488175+3673.996962393063j,4926.123424485772+4202.927790494933j,5339.528289471142+4523.219084044945j,5929.202281201077+4981.209889881853j,6568.128855597155+5454.144816473911j,7214.905450213778+5950.393336351788j,7944.114751413867+6458.752775770941j,8677.807130783243+6985.514492509015j,9481.134147486266+7525.350252776232j,10315.656475168664+8080.396306134826j,11214.236353347007+8651.258217170369j,12176.52542613774+9248.901329503276j,13204.681944883429+9879.259778610944j
